OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,822,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,5.0000000,8.3457813,1.0000000,38.1781197,1.0569863,150.9798584,17.4464645,17.4464645,140.6530609,184.9439850,24966742.0000000,1800.1354980,127.4535599,71.0000000,427.2348328,1590.3266602,17808.0000000,48.0000000,152.0000000,48.3931122,34.6993828,1.3750066,2760.3713379,222.7357483,58.8552971,143.0309601,1.4302188,297.1222534,690.1744995,533509088.0000000,4172.8989258,143.9969635,414.0000000,4955.2763672,9835.3457031,172711.0000000,239.0000000,762.0000000,98.7388535,34.7374687,3.2852287,53110.9218750,938.6889648,258.2027588,345.5132751,1.3202304,375.7432251,925.6758423,1299303552.0000000,4983.9404297,139.2273102,923.0000000,22094.9179688,23227.3496094,287616.0000000,526.0000000,1694.0000000,160.5599823,61.5528564,3.1339922,986277.5625000,3806.0195312,766.1457520,23.2633572,1.1687807,436.8714294,1004.1904907,1608891776.0000000,4950.2255859,130.5791779,1636.0000000,57135.6132812,52968.5859375,345437.0000000,969.0000000,3103.0000000,295.3484802,151.3839874,2.8841932,3215165.2500000,6745.9633789,1396.5463867,119.4269867,1.1263536,496.1989746,1063.4520264,1987729664.0000000,4977.3471680,124.7796402,2183.0000000,81304.8671875,80749.6796875,397779.0000000,1223.0000000,3907.0000000,421.8498840,226.0940094,2.7325487,3922915.7500000,7218.7329102,1455.1240234,117.9208755,1.0570685,759.6218872,1239.1702881,3205066240.0000000,5225.5434570,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,865.0379639,393.1521912,2.6206343,5539375.0000000,8738.8583984,2059.8798828,163.5324554,1.0970812,822,,,none,,,,,1.0000000,0.5000000,,8.345780991691679
2,835,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,5.0000000,3.0190959,0.9999999,38.6320305,1.0488393,179.8387756,15.6191730,15.6191730,149.6945496,103.4816208,1750229.3750000,370.2247314,124.1606445,46.0000000,301.9226990,1390.9045410,8639.0000000,30.0000000,95.0000000,37.4870644,25.7486782,1.4142394,2727.9807129,217.9219513,66.0911636,124.2802353,1.3853222,322.4743042,421.9446106,31592790.0000000,440.1955872,95.6884995,265.0000000,2632.8425293,6021.3964844,113160.0000000,164.0000000,524.0000000,89.7677383,31.0334282,3.2953463,14062.2783203,540.4733887,183.7402954,19.7664070,1.6530389,414.9598083,712.5601196,132436120.0000000,560.3598022,119.4106750,705.0000000,14412.1074219,16937.9472656,253332.0000000,404.0000000,1297.0000000,139.4613342,50.7647362,3.3354063,570079.2500000,3085.7949219,739.5449219,22.7317028,1.3291960,458.4825745,792.1387329,188556304.0000000,595.3878174,114.2087173,1288.0000000,42985.5820312,39852.0156250,306061.0000000,746.0000000,2397.0000000,202.7079468,87.5989838,3.1601152,2234829.2500000,5658.6665039,1096.6484375,122.8882751,1.1401814,540.3248901,876.9209595,234040784.0000000,598.0501099,116.0184174,2073.0000000,75879.4062500,73272.0468750,380271.0000000,1173.0000000,3750.0000000,377.0807190,199.7925415,2.8645554,3544247.0000000,6879.8442383,1405.8011475,119.4142151,1.0627310,826.2744751,1060.2332764,392333920.0000000,639.6616211,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,869.6588745,393.2401428,2.6801877,5539375.0000000,8738.8583984,2066.3193359,163.3475342,1.0970812,835,,,none,,,,,1.0000000,0.5000000,,3.019095883467149
3,860,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,4.0000000,12.8316011,1.0000000,86.8940659,1.1421356,1.7837141,37.3971252,37.3971252,79.9818420,76.4284744,3052885.2500000,946.4700317,104.5377731,23.0000000,93.6723938,359.3789368,2944.0000000,12.0000000,39.0000000,17.5140800,12.5368290,1.3498154,610.5895996,105.5691605,44.6251831,68.8476715,1.4524957,318.9686279,160.3313904,32986198.0000000,1227.7517090,36.9139366,111.0000000,690.7855225,2125.3085938,31262.0000000,69.0000000,220.0000000,80.0876923,38.2763405,2.0793138,4745.6308594,267.4916992,92.5259094,71.5813446,1.1998219,472.4554443,477.0218201,363524064.0000000,1854.1628418,88.0561295,465.0000000,6105.2260742,10971.5312500,188971.0000000,260.0000000,830.0000000,130.9206085,40.2598305,4.0242643,111956.0781250,1351.1057129,318.9598694,64.0421753,1.2975410,546.4985352,627.1735229,663055808.0000000,2185.9926758,109.1344070,1001.0000000,26111.6445312,25769.6757812,291067.0000000,571.0000000,1840.0000000,193.9694366,71.5363083,3.5752008,1419545.3750000,4655.0361328,935.7692261,137.7862244,1.2147502,619.4028931,699.4913330,788636224.0000000,2156.2683105,109.1092072,1759.0000000,61245.4570312,57239.8515625,358446.0000000,1027.0000000,3290.0000000,353.0522156,178.8824463,3.2079072,3230327.0000000,6752.5209961,1419.9107666,119.0383911,1.1232477,930.2132568,889.5728149,1488697472.0000000,2427.1738281,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,895.4141846,397.1173401,2.8615541,5539375.0000000,8738.8583984,2070.0664062,162.8914337,1.0970812,860,,,none,,,,,1.0000000,0.5000000,,12.831600682877642
4,2935,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,2.0000000,3.7961993,1.0000000,0.0000000,1.0000000,135.8100586,1.4235747,1.4235747,154.6067963,372.4264221,1694805.3750000,115.2806015,104.2005081,56.0000000,352.6503601,1339.8696289,13326.0000000,37.0000000,118.0000000,52.5161095,37.3970985,1.4688309,2394.6152344,210.3300018,59.1586037,344.5418091,1.4701338,313.5841064,809.1876831,19623126.0000000,126.1403503,124.4231186,356.0000000,4041.8774414,8480.3798828,153391.0000000,212.0000000,675.0000000,105.6990509,38.2563324,3.1596432,30903.2187500,737.2632446,266.3504028,343.9803467,1.3996891,397.3316956,1064.8585205,35742612.0000000,130.6445923,133.3673859,839.0000000,19202.4218750,20478.2304688,279325.0000000,482.0000000,1555.0000000,164.8274231,61.3841095,3.2237206,955318.6875000,3776.4670410,768.3165894,22.4750023,1.1879913,439.6405029,1125.6376953,41298964.0000000,124.4337463,120.9352722,1487.0000000,50782.1328125,46852.8750000,322339.0000000,886.0000000,2842.0000000,251.5200500,117.2098465,3.0525951,2570717.5000000,6073.6591797,1223.3746338,154.9975433,1.1419225,514.2705688,1203.8524170,49916564.0000000,123.6867752,119.4295502,2143.0000000,79646.4453125,78701.0468750,390058.0000000,1207.0000000,3855.0000000,412.3631287,216.4355927,2.8173740,3764963.2500000,7090.8066406,1427.9824219,114.8452911,1.0627245,787.4353638,1383.2181396,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,875.9643555,394.3451538,2.6686935,5539375.0000000,8738.8583984,2051.5270996,163.7218170,1.0970812,2935,,,none,,,,,1.0000000,0.5000000,,3.796199310217732
5,2936,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,2.0000000,1.8236858,1.0000000,0.0000000,1.0000000,241.2059937,0.6838822,0.6838822,118.6190109,596.7491455,464213.3437500,95.7350388,69.3551254,29.0000000,170.6368866,469.6191406,3712.0000000,16.0000000,52.0000000,27.7905025,21.7419548,1.2835929,1510.9357910,185.0201874,64.6095276,326.0699158,1.8029444,328.6932068,780.3384399,8303573.5000000,88.8959274,50.1281548,167.0000000,1360.0416260,4173.4702148,64957.0000000,113.0000000,362.0000000,97.7987213,44.4052925,2.4596477,7198.5126953,325.6454468,100.7635269,345.3152466,1.1722962,441.2521973,1122.4907227,29290582.0000000,117.1188965,106.3332291,596.0000000,9858.4296875,14055.1425781,228918.0000000,333.0000000,1070.0000000,149.8603516,54.5175514,3.2288826,314227.6250000,2248.8969727,643.9428711,331.6754456,1.2808105,493.4926147,1228.4820557,38276948.0000000,119.8614578,111.7959824,1151.0000000,36547.6796875,34055.2500000,298963.0000000,648.0000000,2087.0000000,206.1403351,80.4934845,3.1840403,1970075.1250000,5402.1440430,1063.9793701,123.1436768,1.1787988,573.6200562,1310.7539062,47705620.0000000,120.7488556,113.5563202,1979.0000000,69952.0078125,68034.8906250,372713.0000000,1138.0000000,3639.0000000,378.4608459,191.4043274,2.8863213,3506191.2500000,6855.7348633,1372.8905029,119.5290222,1.0667498,867.5645752,1495.8278809,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,891.1215210,396.1530762,2.6886318,5539375.0000000,8738.8583984,2044.6712646,164.0432587,1.0970812,2936,,,none,,,,,1.0000000,0.5000000,,1.823685774002564
6,2937,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,2.0000000,1.4759637,1.0000000,0.0000000,1.0000000,19.5005436,0.5534864,0.5534864,119.4075394,729.9618530,496981.3437500,97.2093124,71.9240036,31.0000000,174.1192474,469.6191406,3968.0000000,17.0000000,55.0000000,27.1249142,21.5571861,1.2656636,1510.9357910,185.0201874,59.7651939,328.1467285,1.8029444,328.5393677,964.6875000,10421205.0000000,98.5391769,69.3463898,209.0000000,1891.3114014,4937.6840820,81501.0000000,137.0000000,441.0000000,97.3112869,39.0684891,2.8183365,9875.3476562,391.9096680,126.0763245,2.2143359,1.2376838,433.1072083,1299.8662109,30960598.0000000,120.4073105,112.9049072,633.0000000,11720.3955078,15091.5419922,241965.0000000,354.0000000,1137.0000000,146.8730164,52.3367577,3.3594892,450344.4687500,2814.5400391,638.2718506,331.8845520,1.3997812,478.5574036,1389.3612061,38555540.0000000,120.2704163,112.6133881,1213.0000000,39571.7695312,36279.1132812,301113.0000000,692.0000000,2224.0000000,204.5178833,81.0550842,3.2362676,2166942.2500000,5575.1250000,1070.0806885,123.1796417,1.1414372,560.9495850,1474.5550537,48203924.0000000,121.3266830,114.7113571,2033.0000000,73380.3203125,70771.0703125,376678.0000000,1155.0000000,3694.0000000,384.5353699,195.6418610,2.9247408,3533792.7500000,6875.1884766,1378.9388428,119.5728683,1.0644329,850.2980957,1658.1623535,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,884.4697266,394.6525574,2.7143791,5539375.0000000,8738.8583984,2049.7270508,163.9457092,1.0970812,2937,,,none,,,,,1.0000000,0.5000000,,1.475963746501201
7,2938,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,2.0000000,1.4423178,1.0000000,0.0000000,1.0000000,43.1654320,0.5408692,0.5408692,121.2342987,744.0561523,464213.3437500,95.7350388,69.3551254,29.0000000,170.6368866,469.6191406,3712.0000000,16.0000000,52.0000000,32.6074524,26.5694370,1.2548516,1510.9357910,185.0201874,76.5716476,323.6943359,1.8029444,327.3703613,914.2911377,7729237.5000000,87.4703598,47.3019867,160.0000000,1301.7719727,3949.0207520,60470.0000000,109.0000000,349.0000000,109.8290405,56.4931259,2.0734501,7198.5126953,325.6454468,112.3487854,341.4555054,1.1722962,442.0223999,1257.1968994,28709718.0000000,116.2078857,104.5131302,583.0000000,9706.5322266,13935.8447266,224380.0000000,328.0000000,1055.0000000,160.4023132,63.7221794,2.9081337,309961.4375000,2233.2846680,657.3128052,331.3129578,1.2804737,496.7810364,1369.2666016,38172628.0000000,119.7072144,111.4876633,1139.0000000,35620.6523438,33044.6914062,298308.0000000,643.0000000,2071.0000000,217.5978851,87.3518677,2.9549026,1970075.1250000,5402.1440430,1050.2553711,122.9940720,1.1787988,577.4848633,1451.9073486,47688020.0000000,120.7174301,113.4934845,1973.0000000,69648.1484375,67728.5703125,372629.0000000,1133.0000000,3624.0000000,391.8198242,198.0844269,2.7044923,3490883.0000000,6849.2265625,1359.3647461,119.3771820,1.0693944,871.5303345,1636.4918213,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,904.7277832,400.4994202,2.5861859,5539375.0000000,8738.8583984,2032.5086670,164.2384033,1.0970812,2938,,,none,,,,,1.0000000,0.5000000,,1.442317886936457
8,2939,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,3.0000000,4.7502270,1.0000000,0.0000000,1.0000000,142.0739136,1.7813351,1.7813351,147.0741119,291.0844421,1181525.3750000,103.6116943,81.5683136,46.0000000,318.7131042,1339.8696289,9316.0000000,30.0000000,94.0000000,49.1553192,36.1890755,1.4239126,2387.3557129,210.2589874,61.7734146,349.4127502,1.4736085,317.0942993,721.7235107,18784342.0000000,122.9456329,118.0400391,333.0000000,3663.1545410,7691.6713867,146838.0000000,198.0000000,630.0000000,105.8736420,39.0987129,3.1533844,16983.0566406,562.2020874,196.1415558,12.5105505,1.4810141,401.0344849,981.9382324,35169428.0000000,129.4632111,131.0059967,801.0000000,18048.6777344,19729.1191406,274516.0000000,463.0000000,1493.0000000,162.1735077,62.1668816,3.1673870,793088.7500000,3537.0998535,773.3542480,22.5908413,1.2553446,443.1561279,1046.0614014,40833044.0000000,123.5473251,119.1631012,1460.0000000,49986.5078125,46089.6601562,319093.0000000,861.0000000,2758.0000000,246.2392273,115.1000595,3.0094936,2507262.5000000,6018.4414062,1221.1287842,154.7735748,1.1496308,520.2878418,1126.7760010,49800852.0000000,123.5155869,119.0873108,2140.0000000,79390.6015625,78254.0000000,389154.0000000,1202.0000000,3840.0000000,411.5271606,217.9398651,2.7705154,3756478.5000000,7073.7548828,1387.0740967,104.7534027,1.0600083,794.5401611,1306.0183105,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,877.0052490,395.4176025,2.6411147,5539375.0000000,8738.8583984,2048.5786133,163.5994720,1.0970812,2939,,,none,,,,,1.0000000,0.5000000,,4.750227056558004
9,2940,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,3.0000000,6.5940051,1.0000000,0.0000000,1.0000000,201.7775269,2.4727519,2.4727519,150.6004791,227.1860199,1181525.3750000,103.6116943,81.5683136,46.0000000,318.7131042,1339.8696289,9316.0000000,29.0000000,91.0000000,50.0603180,36.9534416,1.3960955,2387.3557129,210.2589874,62.3973122,352.5754395,1.4736085,318.8854370,645.0375977,18380502.0000000,121.7177048,115.5874557,326.0000000,3566.9924316,7417.2001953,143683.0000000,192.0000000,611.0000000,106.6475067,39.4271851,3.1855469,16983.0566406,562.2020874,197.8693848,13.2053642,1.4810141,403.0165100,907.4934082,34843284.0000000,128.4873352,129.0549011,781.0000000,17025.3359375,18544.1250000,272298.0000000,457.0000000,1474.0000000,161.4225311,62.4706078,3.1751845,759975.9375000,3450.4506836,775.4824219,22.7402935,1.2466426,444.6378174,972.6274414,40616468.0000000,123.2405777,118.5500259,1434.0000000,49026.4960938,45333.4648438,317213.0000000,851.0000000,2725.0000000,242.7359009,112.9813995,3.0223420,2500684.5000000,6018.3339844,1221.2009277,154.6358948,1.1526138,523.8655396,1055.3497314,49800148.0000000,123.5141220,119.0843811,2135.0000000,79028.6796875,78132.3359375,389149.0000000,1199.0000000,3831.0000000,412.4299011,219.0426178,2.7733407,3748541.0000000,7067.5986328,1388.5434570,119.0761108,1.0604047,798.1245728,1234.0770264,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,877.9268188,395.8146973,2.6449575,5539375.0000000,8738.8583984,2048.1982422,163.5180664,1.0970812,2940,,,none,,,,,1.0000000,0.5000000,,6.594004893038111
10,2943,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,3.0000000,0.8720443,1.0000000,0.0000000,1.0000000,200.0869598,0.3270166,0.3270166,83.4765091,1295.1419678,267605.3437500,106.9953842,96.0299759,17.0000000,61.8499107,260.9284058,2176.0000000,9.0000000,29.0000000,12.6293316,9.0664024,1.3012255,354.0047302,81.1693954,42.5019608,111.7645950,1.4810363,288.8812561,1317.9110107,1256789.3750000,73.7308731,21.6674519,56.0000000,340.7610168,1690.0415039,9904.0000000,32.0000000,101.0000000,64.2835693,33.8685608,1.8166157,2904.3679199,223.3146667,85.7776566,118.1443787,1.3663847,513.9930420,1548.6208496,16822614.0000000,93.9104385,59.9869881,303.0000000,3172.2536621,6629.6928711,131512.0000000,182.0000000,579.0000000,130.5833130,40.5335083,3.5765495,14370.2617188,548.4389648,187.7825012,26.9825096,1.6656436,602.5800171,1737.9101562,33514966.0000000,113.5895767,99.2626648,749.0000000,15879.4091797,17652.4355469,261591.0000000,439.0000000,1413.0000000,183.1797943,62.6684875,3.8549552,658248.6250000,3185.3049316,753.6595459,24.8738861,1.2265979,645.6749878,1794.4049072,39784788.0000000,111.9244537,95.9192047,1361.0000000,45345.4492188,43034.6640625,310744.0000000,800.0000000,2563.0000000,252.2379608,105.6204758,3.5919940,2256110.2500000,5679.0126953,1118.6354980,122.4861908,1.1375631,1008.9826660,2019.6527100,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,906.9619141,398.1799622,2.9394200,5539375.0000000,8738.8583984,2078.0410156,162.7897491,1.0970812,2943,,,none,,,,,1.0000000,0.5000000,,0.872044293633648
11,2944,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,3.0000000,1.3000382,1.0000000,0.0000000,1.0000000,21.9380836,0.4875143,0.4875143,82.9174347,908.4248657,267605.3437500,106.9953842,96.0299759,17.0000000,61.8499107,260.9284058,2176.0000000,9.0000000,29.0000000,12.8265448,9.4411755,1.2993287,354.0047302,81.1693954,42.5220108,114.3185196,1.4810363,287.1421509,931.3375854,1256789.3750000,73.7308731,21.6674519,56.0000000,340.7610168,1690.0415039,9904.0000000,32.0000000,101.0000000,64.4938736,33.5611610,1.8445375,2904.3679199,223.3146667,85.9044876,118.9309692,1.3663847,514.6096191,1169.8845215,17353046.0000000,94.8284378,61.8179092,310.0000000,3241.2607422,6706.1865234,135656.0000000,183.0000000,583.0000000,131.8358765,40.3490067,3.6894820,14370.2617188,548.4389648,186.7210236,27.0167122,1.6656436,601.8706665,1355.0765381,33702100.0000000,113.7926483,99.6682434,756.0000000,16049.5527344,17726.1718750,263383.0000000,441.0000000,1420.0000000,184.3851471,62.7442894,3.8657088,672791.9375000,3210.1774902,752.5770874,24.8791981,1.2188983,644.5175171,1410.2551270,39865684.0000000,111.9897156,96.0495605,1368.0000000,45458.4257812,43037.7304688,311535.0000000,807.0000000,2586.0000000,254.4932709,106.4914551,3.6063945,2256110.2500000,5679.0126953,1118.8485107,122.5407486,1.1375631,1006.9167480,1635.0694580,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,907.1758423,397.9623108,2.9489577,5539375.0000000,8738.8583984,2078.8920898,162.8083496,1.0970812,2944,,,none,,,,,1.0000000,0.5000000,,1.300038190426597
12,2945,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,4.0000000,18.8044205,1.0000000,0.0000000,1.0000000,258.7765808,7.0516577,7.0516577,129.2388763,107.2807617,3564757.2500000,767.3055420,146.3734283,41.0000000,239.4658356,1216.0272217,5407.0000000,21.0000000,67.0000000,26.1245785,19.4168072,1.3485445,2098.9707031,178.9659882,53.7452431,101.0223236,1.2142966,321.2205200,314.9932861,96968024.0000000,2053.8962402,66.4325790,196.0000000,1613.3493652,4679.1171875,73572.0000000,125.0000000,400.0000000,86.9912338,35.7519188,2.8139989,9058.1875000,368.5285034,112.5693512,16.0375233,1.1931390,433.5990601,649.1755981,672350784.0000000,3166.7106934,108.5582962,610.0000000,10965.0722656,14435.2656250,233410.0000000,344.0000000,1104.0000000,138.9496918,50.4208260,3.5084169,408714.6250000,2674.6428223,618.7962646,334.5265503,1.3928410,484.3993835,749.4841919,1110813312.0000000,3598.8164062,111.9063568,1171.0000000,37993.4960938,34967.9765625,299623.0000000,660.0000000,2125.0000000,196.3636627,82.0981750,3.2535429,2132499.5000000,5540.3872070,1101.5333252,122.3836670,1.1454639,568.0077515,834.5811768,1344388352.0000000,3576.8461914,114.4299393,2002.0000000,71711.2421875,69009.6406250,375761.0000000,1143.0000000,3655.0000000,377.6396179,200.6353455,2.9242139,3520442.0000000,6859.1689453,1411.2541504,119.0330734,1.0634962,859.4961548,1017.5347900,2425881600.0000000,3955.1601562,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,879.6821899,395.9383850,2.7201202,5539375.0000000,8738.8583984,2063.7407227,163.0553894,1.0970812,2945,,,none,,,,,1.0000000,0.5000000,,18.804420943763777
13,2946,34.8468018,34.8468018,128.0000000,0.0000000,1.5000000,2.0000000,5.9008284,1.0000000,87.6397400,1.1822430,90.1366043,35.0777130,35.0777130,156.6408997,182.0467529,3135445.2500000,119.6623993,112.2135086,75.0000000,493.8799744,1480.5993652,24581.0000000,51.0000000,160.0000000,47.9859505,28.8890362,1.7575204,2394.6152344,210.3300018,66.0637970,153.8878632,1.4701338,290.8066711,696.6395264,23196118.0000000,140.7325287,153.5855408,443.0000000,5756.0146484,10624.5390625,181305.0000000,249.0000000,795.0000000,91.7092438,33.2006721,3.0318573,104814.4453125,1300.1007080,314.0538025,341.9803162,1.2832847,364.8591003,922.2666626,37134868.0000000,134.5543976,141.1840668,970.0000000,25019.2187500,24982.5410156,290201.0000000,553.0000000,1778.0000000,153.6521301,58.9564743,2.9607925,1332631.0000000,4498.3847656,861.7532349,309.0696716,1.2083520,431.7431641,1008.1344604,45219156.0000000,131.0437317,134.1492767,1712.0000000,59472.7421875,55507.0625000,353359.0000000,1004.0000000,3217.0000000,303.1898804,157.7191620,2.7227142,3221359.7500000,6748.6171875,1399.4180908,119.9498596,1.1250724,495.9995728,1069.4000244,52292436.0000000,127.7047958,127.4630585,2209.0000000,83439.5625000,83975.5312500,408620.0000000,1237.0000000,3951.0000000,441.2868958,237.1485291,2.5929413,4099912.2500000,7410.4936523,1538.1982422,118.3992081,1.0658838,745.3146362,1236.4462891,78497368.0000000,127.9821930,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,854.9689941,391.1115112,2.5315866,5539375.0000000,8738.8583984,2070.7973633,163.7319336,1.0970812,2946,,,none,,,,,1.0000000,0.5000000,,5.900828306988834
